DealerCommunityActivated	Account_Number	HDID	Date	Name	ADD1	ADD2	City	State	Zip	Country	Phone	Lead_SMS_Phone	Request_A_Consultation	Lead_SMS_Notification	ShopAtHome	Rank	Email	Lead_Email	Website	HD_Website	HD_Website2	GalleryImage	Criteria_1	Criteria_2	Criteria_3	Criteria_4	Hours	Hours_Fr	By_Appointment_Only
true	10026813|1000|01|00	2878589	11/21/2019	Island View Window Fashions	4759 Chisolm Rd		Johns Island	SC	29455-4729	US	(843) 991-7357		false	false	H	A	islandviewshutters@gmail.com	islandviewshutters@gmail.com									Please call for appointment.<br/>(843) 991-7357	Veuillez appeler pour une consultation.<br/>(843) 991-7357	false
true	10026820|1000|01|00	2772580	11/21/2019	Julie Muscato Home	80 Main St	Ste C	Lockport	NY	14094-2843	US	(716) 201-1274		true	false	B	B	jemuscato@yahoo.com	jemuscato@yahoo.com		www.juliemuscatointeriors.hdwfdealer.com	Click here to visit this dealer's website					Centurion	M-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 3:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 17H00, SAM: 10H00 - 15H00, DIM: Fermé, 	false
true	10006809|1000|01|00	251674	11/21/2019	Solar 'N' Shades	530 Smith Rd		Watsonville	CA	95076-9794	US	(831) 724-4911		false	false	H	A	solarnshades@aol.com	solarnshades@aol.com									Please call for appointment.<br/>(831) 724-4911	Veuillez appeler pour une consultation.<br/>(831) 724-4911	false
true	10036832|1000|01|00	241797	11/21/2019	The Perfect Window	1015 Olive Dr		Davis	CA	95616-4722	US	(530) 758-4643		false	false	S	B	toddastorm@gmail.com	toddastorm@gmail.com		www.perfectwindowdavis.com	www.perfectwindowdavis.com						M-T: 10:00 am - 5:00 pm, W: By Appointment Only, Th-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 5:00 pm, Sun: Closed, 	LUN-MAR: 10H00 - 17H00, MER: Sur rendez-vous uniquement, JEU-VEN: 10H00 - 17H00, SAM: 10H00 - 17H00, DIM: Fermé, 	false
true	10036838|1000|01|00	2022145	11/21/2019	Sierra Verde Home Design Center	797 Southwood Blvd	Ste 4	Incline Village	NV	89451-9490	US	(775) 831-2204		true	false	B	C	tiffany@sierraverdegroup.com	tiffany@sierraverdegroup.com, pam.aaron@sbcglobal.net		www.sierraverdegroup.com	www.sierraverdegroup.com					Centurion	M-F: 9:00 am - 5:00 pm, Sat: Closed, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: Fermé, DIM: Fermé, 	false
true	10039259|1000|01|00	234918	11/21/2019	J C Jacobs Carpet One Floor & Home	1577 Dewar Dr		Rock Springs	WY	82901-5716	US	(307) 362-5335		false	false	B	A	jenae@jcjacobscarpetone.com	steve@jcjacobscarpetone.com, c1@qwestoffice.net, carpet_one@qwestoffice.net									Please call for store hours.<br/>(307) 362-5335	Appelez pour les heures de magasin.<br/>(307) 362-5335	false
true	10006271|1000|01|00	234628	11/21/2019	The Blind Spot	10027 W Remington Ave	Ste 200A	Littleton	CO	80127-6421	US	(303) 973-1235		true	false	B	C	tanya@theblindspot.biz	blindfashions@msn.com, lennie@theblindspot.biz, cdhicks6202@msn.com, tanya@theblindspot.biz		www.theblindspot.biz	www.theblindspot.biz					Centurion	M-F: 10:00 am - 6:00 pm, Sat: 10:00 am - 4:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 18H00, SAM: 10H00 - 16H00, DIM: Fermé, 	false
true	10040172|1000|01|00	1577323	11/21/2019	Guiry's Inc	6735 W 88th Ave		Westminster	CO	80031-2919	US	(303) 412-6522		true	false	B	C	felicia.claiborne@guirys.com	decorating@guirys.com, rick.booth@guirys.com		www.guirys.com/hunter-douglas-blinds-shutters-shades-and-more	www.guirys.com					Centurion	M-F: 8:30 am - 7:00 pm, Sat: 8:30 am - 5:30 pm, Sun: 11:00 am - 4:00 pm, 	LUN-VEN: 08H30 - 19H00, SAM: 08H30 - 17H30, DIM: 11H00 - 16H00, 	false
true	10039630|1000|01|00	540974	11/21/2019	Guiry's Inc.	16534 Keystone Blvd		Parker	CO	80134-3358	US	(303) 805-4714		true	false	B	C	felicia.claiborne@guirys.com	diane.mcneilly@guirys.com, decorating@guirys.com, aaron.richards@guirys.com		www.guirys.com/hunter-douglas-blinds-shutters-shades-and-more	www.guirys.com					Centurion	M-F: 8:30 am - 7:00 pm, Sat: 8:30 am - 5:30 pm, Sun: 9:30 am - 5:30 pm, 	LUN-VEN: 08H30 - 19H00, SAM: 08H30 - 17H30, DIM: 09H30 - 17H30, 	false
true	10040757|1000|01|00	1562092	11/21/2019	Waters & Brown	281 Derby St		Salem	MA	01970-3632	US	(978) 744-1007		true	false	B	B	watersandbrowninstalls@gmail.com	watersandbrown@aol.com, tim@watersandbrown.com, watersandbrowninstalls@gmail.com, debbie@watersandbrown.com		https://www.watersandbrown.com/window-treatments/hunter-douglas	www.watersandbrown.com					Centurion	M-F: 7:00 am - 5:30 pm, Sat: 7:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 07H00 - 17H30, SAM: 07H00 - 17H00, DIM: Fermé, 	false
true	10040758|1000|01|00	256609	11/21/2019	Waters & Brown	13 Elliott St		Beverly	MA	01915-3308	US	(978) 922-1007		true	false	B	B	lisa@watersandbrown.com	watersandbrown@yahoo.com, lisa@watersandbrown.com, watersandbrowninstalls@gmail.com, tim@watersandbrown.com		https://www.watersandbrown.com/window-treatments/hunter-douglas	www.watersandbrown.com					Centurion	M-F: 7:00 am - 5:30 pm, Sat: 7:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 07H00 - 17H30, SAM: 07H00 - 17H00, DIM: Fermé, 	false
true	10040760|1000|01|00	1575166	11/21/2019	Red Star Paint & Decorating	420 Bloomfield Ave	Ste 6	Montclair	NJ	07042-3586	US	(973) 746-2468	(862) 596-0548	true	true	B	B	redstarpaint@aol.com	redstarpaint@aol.com		www.redstarpaint.com	Click here to visit this dealer's website					Centurion	M-F: 7:30 am - 5:30 pm, Sat: 8:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 07H30 - 17H30, SAM: 08H00 - 17H00, DIM: Fermé, 	false
true	10040761|1000|01|00	2467785	11/21/2019	Savannah House Llc	222 W Chestnut St		Lancaster	PA	17603-3520	US	(717) 278-6524	(717) 278-6524	true	true	S	A	maryjo@savannahhouselanc.com	maryjoyo@msn.com, maryjo@savannahhouselanc.com								Centurion	Please call for store hours.<br/>(717) 278-6524	Appelez pour les heures de magasin.<br/>(717) 278-6524	false
true	10040762|1000|01|00	1716737	11/21/2019	Window Works Studio Inc	4915 Piedmont Pkwy	Ste 107	Jamestown	NC	27282-7533	US	(336) 854-6085		false	false	B	B	amym@windowworksstudio.com	connie@windowworksstudio.com, amym@windowworksstudio.com		www.windowworksstudio2.com	www.windowworksstudio2.com						M-F: 8:30 am - 5:30 pm, Sat: Closed, Sun: Closed, 	LUN-VEN: 08H30 - 17H30, SAM: Fermé, DIM: Fermé, 	false
true	10041167|1000|01|00	253182	11/21/2019	David Waller Interiors	3550 S Ridgewood Ave		Port Orange	FL	32129-3529	US	(386) 761-0204		false	false	B	C	cheryl@davidwaller.com	christine@davidwaller.com, cheryl@davidwaller.com		www.davidwallerinc.com	www.davidwallerinc.com						M-F: 10:00 am - 6:00 pm, Sat: 10:00 am - 4:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 18H00, SAM: 10H00 - 16H00, DIM: Fermé, 	false
true	10040771|1000|01|00	255036	11/21/2019	David's Gulf Coast Drapery	1810 J And C Blvd	Ste 1	Naples	FL	34109-1865	US	(239) 598-5212		false	false	B	A	dmsmotor@aol.com	dmsmotor@aol.com									Please call for store hours.<br/>(239) 598-5212	Appelez pour les heures de magasin.<br/>(239) 598-5212	false
true	10040775|1000|01|00	248344	11/21/2019	Decker Ross Interiors	1445 Court St		Clearwater	FL	33756-6161	US	(727) 442-9996		false	false	B	A	suzan@deckerross.com	info@deckerross.com, suzan@deckerross.com									Please call for store hours.<br/>(727) 442-9996	Appelez pour les heures de magasin.<br/>(727) 442-9996	false
true	10027453|1000|01|00	2875298	11/21/2019	27 Diamonds Interior Design	14340 Bolsa Chica Rd	Ste D	Westminster	CA	92683-4868	US	(714) 901-9100		false	false	B	B	anna@27diamonds.com	anna@27diamonds.com		www.27diamonds.com/hunter-douglas/	www.27diamonds.com					Centurion	M-F: 9:00 am - 5:00 pm, Sat: Closed, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: Fermé, DIM: Fermé, 	false
true	10027455|1000|01|00	2422147	11/21/2019	Ethan Allen Inc	2966 John Hawkins Pkwy		Hoover	AL	35244-1087	US	(205) 560-0339		false	false	B	A	rachel.klein@ethanallen.com	kconley@ethanalleninc.com, lauren.smith@ethanallen.com									Please call for store hours.<br/>(205) 560-0339	Appelez pour les heures de magasin.<br/>(205) 560-0339	false
true	10027464|1000|01|00	2888137	11/21/2019	Ethan Allen	7 Park Woodruff Dr		Greenville	SC	29607-5728	US	(864) 234-9929		false	false	B	A	tim.ellis@ethanallen.com	tellis@ethanalleninc.com, tim.ellis@ethanallen.com									Please call for store hours.<br/>(864) 234-9929	Appelez pour les heures de magasin.<br/>(864) 234-9929	false
true	10027465|1000|01|00	1202917	11/21/2019	Blinds And Designs	15 Design Ave	Unit 209	Fletcher	NC	28732-7826	US	(828) 687-7882		true	false	B	C	dan@blindsanddesignsnc.com	jamie@blindsanddesignsnc.com, karen@blindsanddesignsnc.com		www.blindsanddesignsnc.com	www.blindsanddesignsnc.com					Centurion	M-F: 9:00 am - 5:00 pm, Sat: 10:00 am - 2:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: 10H00 - 14H00, DIM: Fermé, 	false
true	10027468|1000|01|00	2857218	11/21/2019	Home Design Center	209 1st Ave S		Jamestown	ND	58401-4249	US	(701) 253-8176		false	false	B	A	carmenw@homedesignnd.com	carmenw@homedesignnd.com									Please call for store hours.<br/>(701) 253-8176	Appelez pour les heures de magasin.<br/>(701) 253-8176	false
true	10036646|1000|01|00	254489	11/21/2019	Blinds On A Shoestring Inc	2406 Abbott Ct		Tracy	CA	95377-1149	US	(925) 275-1418	9252751418	true	true	H	B	pamreese@hotmail.com	pam@blindsonashoestring.com, pamreese@hotmail.com, jennimaxfield@gmail.com		www.windowcoveringsdanville.com	www.windowcoveringsdanville.com					Centurion	M-F: 10:00 am - 5:00 pm, Sat: By Appointment Only, Sun: Closed, 	LUN-VEN: 10H00 - 17H00, SAM: Sur rendez-vous uniquement, DIM: Fermé, 	false
true	10036652|1000|01|00	237319	11/21/2019	Day & Night Blinds	1771 Main St		Santa Clara	CA	95050-3804	US	(408) 261-2779		false	false	H	B	velsong@gmail.com	daynightblinds@yahoo.com		www.dnblinds.com	www.dnblinds.com					Centurion	M-F: 9:00 am - 7:00 pm, Sat: 9:00 am - 3:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 19H00, SAM: 09H00 - 15H00, DIM: Fermé, 	false
true	10038020|1000|01|00	236959	11/21/2019	Johnson Drapery Llc	301 W Paul Ave		Pauls Valley	OK	73075-3222	US	(405) 238-7341		false	false	B	A	anitacottrell@yahoo.com	anitacottrell@yahoo.com									Please call for store hours.<br/>(405) 238-7341	Appelez pour les heures de magasin.<br/>(405) 238-7341	false
true	10038021|1000|01|00	2237044	11/21/2019	Plush Fabric Studio	314 Old Highway 183		Cedar Park	TX	78613-2902	US	(512) 331-7503		false	false	B	A	sydney@plushhomefabric.com	info@plushhomefabric.com, sydney@plushhomefabric.com		www.plushfabricstudio.hdwfdealer.com	Click here to visit this dealer's website					Centurion	M-F: 10:00 am - 6:00 pm, Sat: 10:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 18H00, SAM: 10H00 - 17H00, DIM: Fermé, 	false
true	10038045|1000|01|00	2317084	11/21/2019	Ethan Allen	12862 W Interstate 10		San Antonio	TX	78249-2210	US	(210) 341-8108	(713) 822-8576	true	true	B	A	bradley.chesnick@ethanallen.com	maryjo.adams@ethanallen.com, robin.newman@ethanallen.com, bradley.chesnick@ethanallen.com		www.blindsoftexas.com	www.blindsoftexas.com					Centurion	M-W: 10:00 am - 6:00 pm, Th: 10:00 am - 8:00 pm, F: 10:00 am - 6:00 pm, Sat: 10:00 am - 6:00 pm, Sun: 12:30 pm - 5:30 pm, 	LUN-MER: 10H00 - 18H00, JEU: 10H00 - 20H00, VEN: 10H00 - 18H00, SAM: 10H00 - 18H00, DIM: 12H30 - 17H30, 	false
true	10038047|1000|01|00	699769	11/21/2019	Ethan Allen	11431 Katy Fwy		Houston	TX	77079-2001	US	(713) 464-7600	(713) 822-8576	true	true	B	A	bradley.chesnick@ethanallen.com	tim.bryan@ethanallen.com, bradley.chesnick@ethanallen.com		www.blindsoftexas.com	www.blindsoftexas.com					Centurion	M-W: 10:00 am - 6:00 pm, Th: 10:00 am - 8:00 pm, F: 10:00 am - 6:00 pm, Sat: 10:00 am - 6:00 pm, Sun: 12:30 pm - 5:30 pm, 	LUN-MER: 10H00 - 18H00, JEU: 10H00 - 20H00, VEN: 10H00 - 18H00, SAM: 10H00 - 18H00, DIM: 12H30 - 17H30, 	false
true	10038048|1000|01|00	1571617	11/21/2019	Ethan Allen	18390 Interstate 45 S		Shenandoah	TX	77384-4117	US	(281) 444-8210	(713) 822-8576	true	true	B	A	bradley.chesnick@ethanallen.com	natalie.anderson@ethanallen.com, bradley.chesnick@ethanallen.com		www.blindsoftexas.com	www.blindsoftexas.com					Centurion	M-W: 10:00 am - 6:00 pm, Th: 10:00 am - 8:00 pm, F: 10:00 am - 6:00 pm, Sat: 10:00 am - 6:00 pm, Sun: 12:30 pm - 5:30 pm, 	LUN-MER: 10H00 - 18H00, JEU: 10H00 - 20H00, VEN: 10H00 - 18H00, SAM: 10H00 - 18H00, DIM: 12H30 - 17H30, 	false
true	10039442|1000|01|00	250163	11/21/2019	Judkins Brothers	135 W Stratford Ave		Salt Lake City	UT	84115-3030	US	(801) 466-9330		false	false	H	A	judkinsfam@msn.com	jayjudkins19@gmail.com, judkinsfam@msn.com									Please call for appointment.<br/>(801) 466-9330	Veuillez appeler pour une consultation.<br/>(801) 466-9330	false
true	10039998|1000|01|00	231065	11/21/2019	Window Decor & More By Marvin	5 Gabriel Way		Township Of Washington	NJ	07676-4513	US	(201) 447-3297		false	false	H	A	marvinreisfeld@gmail.com	marvinreisfeld@gmail.com									Please call for appointment.<br/>(201) 447-3297	Veuillez appeler pour une consultation.<br/>(201) 447-3297	false
true	10040000|1000|01|00	231313	11/21/2019	Made Rite Shades	2348 Whitney Ave	Ste 19	Hamden	CT	06518-3512	US	(203) 248-2211		true	false	B	B	maderiteshades@att.net	maderiteshades@att.net		www.maderiteshades.com	www.maderiteshades.com					Centurion	M: Closed, T-F: 9:30 am - 4:00 pm, Sat: 10:30 am - 1:00 pm, Sun: Closed, 	LUN: Fermé, MAR-VEN: 09H30 - 16H00, SAM: 10H30 - 13H00, DIM: Fermé, 	false
true	10040023|1000|01|00	237733	11/21/2019	Designing Windows	8204 Coastal Hwy		Ocean City	MD	21842-2834	US	(410) 524-8909		false	false	B	B	designingwindowsinc@yahoo.com	designingwindows@comcast.net		www.designingwindowsinc.com	www.designingwindowsinc.com					Centurion	M-F: 9:00 am - 5:00 pm, Sat: 9:00 am - 3:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: 09H00 - 15H00, DIM: Fermé, 	false
true	10040027|1000|01|00	237952	11/21/2019	Window Expressions	1875 Cherry Rd		Annapolis	MD	21409	US	(410) 974-0321		false	false	H	B	garywellsone@aol.com	garywellsone@aol.com		www.windowexpressionsmd.com	www.windowexpressionsmd.com						M-F: 8:00 am - 8:00 pm, Sat: 8:00 am - 8:00 pm, Sun: Closed, 	LUN-VEN: 08H00 - 20H00, SAM: 08H00 - 20H00, DIM: Fermé, 	false
true	10040397|1000|01|00	1848226	11/21/2019	Ethan Allen	11516 Carolina Place Pkwy		Pineville	NC	28134-6483	US	(704) 341-7512		false	false	B	A	jan.dale@ethanallen.com	lwood@ethanalleninc.com									Please call for store hours.<br/>(704) 341-7512	Appelez pour les heures de magasin.<br/>(704) 341-7512	false
true	10040398|1000|01|00	1637619	11/21/2019	Aboff's Inc.	2415 Long Beach Rd		Oceanside	NY	11572-1319	US	(516) 766-1600		true	false	B	C		apeppard@aboffs.com, decorating.rockvillecentre@aboffs.com		www.aboffsofrockvillecentre.com	www.aboffsofrockvillecentre.com					Centurion	M-F: 7:00 am - 6:00 pm, Sat: 8:00 am - 6:00 pm, Sun: 10:00 am - 4:00 pm, 	LUN-VEN: 07H00 - 18H00, SAM: 08H00 - 18H00, DIM: 10H00 - 16H00, 	false
true	10040399|1000|01|00	259197	11/21/2019	Ethan Allen Retail, Inc.	970 Iyannough Rd		Hyannis	MA	02601-1829	US	(508) 362-0011		false	false	B	A	stephanie.demuth@ethanallen.com	abucar@ethanalleninc.com, stephanie.demuth@ethanallen.com									Please call for store hours.<br/>(508) 362-0011	Appelez pour les heures de magasin.<br/>(508) 362-0011	false
true	10041095|1000|01|00	2318590	11/21/2019	Bronze Lady Home Furnishings	15222 Municipal Dr		Madeira Beach	FL	33708-1920	US	(727) 393-4663	(727) 482-3347	true	true	B	A	carol@bronzeladyhome.com	carol@bronzeladyhome.com		www.blindsonthebeach.com	www.blindsonthebeach.com					Centurion	M-F: 10:00 am - 6:00 pm, Sat: 10:00 am - 6:00 pm, Sun: By Appointment Only, 	LUN-VEN: 10H00 - 18H00, SAM: 10H00 - 18H00, DIM: Sur rendez-vous uniquement, 	false
true	10041098|1000|01|00	242473	11/21/2019	Brown	4501 N Federal Hwy		Boca Raton	FL	33431-5199	US	(561) 368-2703		false	false	S	B	dana.brown@brownsinteriors.com	susan@interiorsbybrown.com, dana.brown@brownsinteriors.com		www.interiorsbybrownwindowcoverings.com	www.interiorsbybrownwindowcoverings.com						M-F: 10:00 am - 5:30 pm, Sat: 11:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 17H30, SAM: 11H00 - 17H00, DIM: Fermé, 	false
true	10041120|1000|01|00	255119	11/21/2019	Castner & Castner Inc.	5210 Cortez Rd W		Bradenton	FL	34210-2811	US	(941) 795-1297		false	false	B	A	castner4@castnerandcastner.com	castner4@castnerandcastner.com									Please call for store hours.<br/>(941) 795-1297	Appelez pour les heures de magasin.<br/>(941) 795-1297	false
true	10040992|1000|01|00	1435805	11/21/2019	Marquis Design Group	5670 Corporate Way		West Palm Beach	FL	33407-2002	US	(561) 689-0086		false	false	B	A	lorri@marquisdesigngroup.com	darin@marquisdesigngroup.com		www.themarquisdesigngroup.com	www.themarquisdesigngroup.com						M-F: 8:30 am - 4:30 pm, Sat: By Appointment Only, Sun: By Appointment Only, 	LUN-VEN: 08H30 - 16H30, SAM: Sur rendez-vous uniquement, DIM: Sur rendez-vous uniquement, 	false
true	10040993|1000|01|00	622566	11/21/2019	Anne Samuel Interiors	7085 SW 47th St		Miami	FL	33155-4652	US	(305) 264-5666		false	false	H	A	draperiesbymarshinfo@gmail.com	draperiesbymarshinfo@gmail.com, draperiesbymarshinfo@gmail.com											false
true	10040995|1000|01|00	606343	11/21/2019	MGM's Southern Window Fashion	104 Rush St		New Smyrna Beach	FL	32168-7035	US	(386) 423-7461		false	false	B	A	mgmssouthernwindowfashions@hotmail.com	mgmssouthernwindowfashions@hotmail.com									Please call for store hours.<br/>(386) 423-7461	Appelez pour les heures de magasin.<br/>(386) 423-7461	false
true	10041536|1000|01|00	1355658	11/21/2019	The Blind Lady Llc	1963 Northpoint Blvd	Ste 101	Hixson	TN	37343-4638	US	(423) 877-1000		false	false	B	B	ncard@blindlady.net	ncard@blindlady.net, summer@blindlady.net, catherine@blindlady.net, jhigdon1028@yahoo.com		www.blindladychattanooga.com	www.blindladychattanooga.com						M-F: 9:00 am - 5:00 pm, Sat: By Appointment Only, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: Sur rendez-vous uniquement, DIM: Fermé, 	false
true	10041560|1000|01|00	255655	11/21/2019	Universal Blinds & Shutters Inc	1470 NW 93rd Ter		Coral Springs	FL	33071-6036	US	(954) 340-5227		false	false	H	A	marc@universalblindsinc.com	marc@universalblinds.com, marc@universalblindsinc.com									Please call for appointment.<br/>(954) 340-5227	Veuillez appeler pour une consultation.<br/>(954) 340-5227	false
true	10041919|1000|01|00	237731	11/21/2019	Homeworks Carpet One Floor & Home	8403 Coastal Hwy		Ocean City	MD	21842-2724	US	(410) 524-1800		false	false	B	B	rdawson@homeworksoc.com	rdawson@homeworksoc.com		www.homeworksoc.com	www.homeworksoc.com						M-Th: 9:00 am - 5:00 pm, F: 9:00 am - 6:00 pm, Sat: 9:00 am - 6:00 pm, Sun: 10:00 am - 4:00 pm, 	LUN-JEU: 09H00 - 17H00, VEN: 09H00 - 18H00, SAM: 09H00 - 18H00, DIM: 10H00 - 16H00, 	false
true	10041406|1000|01|00	244553	11/21/2019	Barrows Custom Window Treatments	365 Boylston St		Newton Center	MA	02459-2844	US	(617) 964-4580		true	false	B	C	miriam@barrowscwt.com	orders@barrowscwt.com, virginia@barrowscwt.com, miriam@barrowscwt.com		www.barrowscwt.com	www.barrowscwt.com					Centurion	M-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 4:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 17H00, SAM: 10H00 - 16H00, DIM: Fermé, 	false
true	10041920|1000|01|00	231682	11/21/2019	Homeport Supply LLC	597 Route 1	Ste 1	Newcastle	ME	04553-3860	US	(207) 563-3770		false	false	B	B	eva@homeportsupply.com	eva@homeportsupply.com		www.homeportsupply.hdwfdealer.com	Click here to visit this dealer's website						M-F: 7:00 am - 5:00 pm, Sat: 8:00 am - 4:00 pm, Sun: Closed, 	LUN-VEN: 07H00 - 17H00, SAM: 08H00 - 16H00, DIM: Fermé, 	false
true	10041408|1000|01|00	231674	11/21/2019	Barnes Custom Window Treatments	108 Camden Rd		Warren	ME	04864-4212	US	(207) 273-4093		false	false	B	B	jimbarnes@barneswindow.com	jimbarnes@barneswindow.com		www.barneswindowtreatments.com	www.barneswindowtreatments.com						M-F: 10:00 am - 5:00 pm, Sat: By Appointment Only, Sun: Closed, 	LUN-VEN: 10H00 - 17H00, SAM: Sur rendez-vous uniquement, DIM: Fermé, 	false
true	10041924|1000|01|00	253568	11/21/2019	Herring Carpet & Interiors	4332 US 301 N		Dunn	NC	28334-8694	US	(910) 892-0172		false	false	B	A	dale.herringinteriors@yahoo.com	herringcarpet@yahoo.com, dale.herringinteriors@yahoo.com									Please call for store hours.<br/>(910) 892-0172	Appelez pour les heures de magasin.<br/>(910) 892-0172	false
true	10041616|1000|01|00	243837	11/21/2019	Blind Outlet	113 Mulberry Pl		Douglassville	PA	19518-1225	US	(610) 385-6660		false	false	H	B	hdblindoutlet@aol.com	hdblindoutlet@aol.com		www.blindoutlet.org	www.blindoutlet.org					Centurion	M-F: By Appointment Only, Sat: By Appointment Only, Sun: By Appointment Only, 	LUN-VEN: Sur rendez-vous uniquement, SAM: Sur rendez-vous uniquement, DIM: Sur rendez-vous uniquement, 	false
true	10005917|1000|01|00	251610	11/21/2019	Carolina Blinds	225 Duncan Hill Rd		Hendersonville	NC	28792-2714	US	(828) 697-8525		true	false	B	C	carolinablinds@att.net	carolinablinds@att.net, carolinablinds1@att.net		www.carolinablindswnc.com	www.carolinablindswnc.com						M-F: 9:00 am - 5:00 pm, Sat: By Appointment Only, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: Sur rendez-vous uniquement, DIM: Fermé, 	false
true	10041904|1000|01|00	243261	11/21/2019	Goedecke Design Center	284 Route 101		Bedford	NH	03110-5101	US	(603) 472-5221		true	false	B	C	windows@goedeckedecorating.com	windows@goedeckedecorating.com, joyce@goedeckedecorating.com		www.windowtreatmentsnh.com	www.windowtreatmentsnh.com					Centurion	M-W: 8:30 am - 5:00 pm, Th: 8:30 am - 6:00 pm, F: 8:30 am - 5:00 pm, Sat: 9:00 am - 3:00 pm, Sun: Closed, 	LUN-MER: 08H30 - 17H00, JEU: 08H30 - 18H00, VEN: 08H30 - 17H00, SAM: 09H00 - 15H00, DIM: Fermé, 	false
true	10041620|1000|01|00	259892	11/21/2019	Window Designs Etc	800 Main St	Ste 207	Holden	MA	01520-1838	US	(508) 868-2270	(508) 868-2270	true	true	H	A	marie@windowdesignsetc.com	marie@windowdesignsetc.com		www.windowblindsetc.com	www.windowblindsetc.com					Centurion	M-Th: 8:00 am - 5:00 pm, F: 8:00 am - 2:00 pm, Sat: Closed, Sun: Closed, 	LUN-JEU: 08H00 - 17H00, VEN: 08H00 - 14H00, SAM: Fermé, DIM: Fermé, 	false
true	10060628|1000|01|00	253840	11/21/2019	Lanera Decorating	801 E Boston Post Rd		Mamaroneck	NY	10543-4143	US	(914) 381-0908		true	false	B	C	sally@laneradecorating.com	sally@laneradecorating.com		www.westchestershades.com	www.westchestershades.com						M-F: 9:00 am - 5:00 pm, Sat: 10:00 am - 4:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: 10H00 - 16H00, DIM: Fermé, 	false
true	10042531|1000|01|00	231328	11/21/2019	Stanton Miles	1803 Post Rd E		Westport	CT	06880-5606	US	(203) 259-5246		false	false	B	A	vacshop@optonline.net	vacshop@optonline.net									Please call for store hours.<br/>(203) 259-5246	Appelez pour les heures de magasin.<br/>(203) 259-5246	false
true	10042698|1000|01|00	243302	11/21/2019	Exeter Decorating Center	164 Epping Rd		Exeter	NH	03833-7524	US	(603) 778-7540		false	false	B	A	decorate@exeterdecorating.com	decorate@exeterdecorating.com									Please call for store hours.<br/>(603) 778-7540	Appelez pour les heures de magasin.<br/>(603) 778-7540	false
true	10042699|1000|01|00	248453	11/21/2019	Kellie's Beautiful Blinds, Inc.	11 Chiswick Dr		Jackson	NJ	08527-1259	US	(732) 370-4400		false	false	H	B	kelliesblinds@aol.com	belmartian19@gmail.com, kelliesblinds@aol.com		www.kelliesblinds.com	www.kelliesblinds.com						M-W: 9:00 am - 8:00 pm, Th: 9:00 am - 9:00 pm, F: 9:00 am - 5:00 pm, Sat: 9:00 am - 5:00 pm, Sun: Closed, 	LUN-MER: 09H00 - 20H00, JEU: 09H00 - 21H00, VEN: 09H00 - 17H00, SAM: 09H00 - 17H00, DIM: Fermé, 	false
true	10042868|1000|01|00	699003	11/21/2019	The Architect's Daughter	4 Barr Ave		Linwood	NJ	08221-1902	US	(609) 457-0738	(609) 457-0738	true	false	H	A	architectsdaughter4@gmail.com	architectsdaughter4@gmail.com								Centurion	Please call for appointment.<br/>(609) 457-0738	Veuillez appeler pour une consultation.<br/>(609) 457-0738	false
true	10042854|1000|01|00	560440	11/21/2019	Spaces Design Center	165 Elmwood St		State College	PA	16801-6851	US	(814) 234-8155		false	false	H	B	scottbrown7@gmail.com	scottbrown7@gmail.com		www.spacesblinds.com	www.spacesblinds.com					Centurion	M-F: By Appointment Only, Sat: Closed, Sun: Closed, 	LUN-VEN: Sur rendez-vous uniquement, SAM: Fermé, DIM: Fermé, 	false
true	10042876|1000|01|00	629866	11/21/2019	Interior Details, Inc.	5 Grove St		Norwell	MA	02061-1552	US	(781) 792-0004		false	false	B	B	kevin@interior-details.com	sales@interior-details.com, kevin@interior-details.com		www.southshoreshuttersandblinds.com	www.southshoreshuttersandblinds.com						M-F: 9:00 am - 5:00 pm, Sat: 9:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: 09H00 - 17H00, DIM: Fermé, 	false
